time,logger,level,message,exception
2012-06-24 09:07:47.9638,Raven.Database.Indexing.WorkContext,Debug,Stopping background workers,
2012-06-24 09:07:49.8066,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2012-06-24 09:07:50.7958,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2012-06-24 09:07:51.6435,Raven.Database.Server.HttpServer,Debug,"Request #2,347: GET     -   448 ms - <default>  - 200 - /databases/?pageSize=1024&noCache=-1213564077",
2012-06-24 09:08:04.2158,Raven.Database.Server.HttpServer,Debug,"Request #2,348: GET     - 12,711 ms - HitThatLine - 200 - /stats?noCache=1299846926",
2012-06-24 09:08:09.8115,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/HitThatLine' was found,
2012-06-24 09:08:10.0976,Raven.Database.Impl.DocumentCacher,Info,"MemoryCache Settings:
  PhysicalMemoryLimit = 98
  CacheMemoryLimit    = 526385152
  PollingInterval     = 00:02:00",
2012-06-24 09:08:10.0976,Raven.Storage.Esent.TransactionalStorage,Info,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 65536
  DatabasePageSize = 4096",
2012-06-24 09:08:10.9726,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-06-24 09:08:11.0029,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Threads%2fTagCount:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Threads_2fTagCount : AbstractViewGenerator
{
	public Index_Threads_2fTagCount()
	{
		this.ViewText = @""docs.DiscussionThreads
	.SelectMany(thread => thread.Tags, (thread, tag) => new {Tag = tag, Count = 1})
results
	.GroupBy(result => result.Tag)
	.Select(g => new {Tag = g.Key, Count = g.Sum(x => ((System.Int64)(((long)x.Count))))})

"";
		this.ForEntityNames.Add(""DiscussionThreads"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""DiscussionThreads"").SelectMany((Func<dynamic, IEnumerable<dynamic>>)(thread => (IEnumerable<dynamic>)(thread.Tags)), (Func<dynamic, dynamic, dynamic>)((thread, tag) => new { Tag = tag, Count = 1, __document_id = thread.__document_id })));
		this.ReduceDefinition = results => results.GroupBy((Func<dynamic, dynamic>)(result => result.Tag)).Select((Func<IGrouping<dynamic,dynamic>, dynamic>)(g => new { Tag = g.Key, Count = g.Sum((Func<dynamic, System.Int64>)(x => ((System.Int64)(((long)x.Count))))) }));
		this.GroupByExtraction = result => result.Tag;
		this.AddField(""Tag"");
		this.AddField(""Count"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Threads_2fTagCount : AbstractViewGenerator
{
	public Index_Threads_2fTagCount()
	{
		this.ViewText = @""docs.DiscussionThreads
	.SelectMany(thread => thread.Tags, (thread, tag) => new {Tag = tag, Count = 1})
results
	.GroupBy(result => result.Tag)
	.Select(g => new {Tag = g.Key, Count = g.Sum(x => ((System.Int64)(((long)x.Count))))})

"";
		this.ForEntityNames.Add(""DiscussionThreads"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""DiscussionThreads"").SelectMany((Func<dynamic, IEnumerable<dynamic>>)(thread => (IEnumerable<dynamic>)(thread.Tags)), (Func<dynamic, dynamic, dynamic>)((thread, tag) => new { Tag = tag, Count = 1, __document_id = thread.__document_id })));
		this.ReduceDefinition = results => results.GroupBy((Func<dynamic, dynamic>)(result => result.Tag)).Select((Func<IGrouping<dynamic,dynamic>, dynamic>)(g => new { Tag = g.Key, Count = g.Sum((Func<dynamic, System.Int64>)(x => ((System.Int64)(((long)x.Count))))) }));
		this.GroupByExtraction = result => result.Tag;
		this.AddField(""Tag"");
		this.AddField(""Count"");
	}
}
",
